season,id_start,id_end,ngames,,,90,1990/11/02,1991/04/21
1997,,,,,,91,1991/11/01,1992/04/19
1998,,,1,,,92,1992/11/06,1993/04/25
1999,,,1,,,93,1993/11/05,1994/04/24
2000,,,1,,,94,1994/11/04,1995/04/23
2001,,,1,,,95,1995/11/03,1996/04/21
2002,,,1,,,96,1996/11/01,1997/04/20
2003,,,1,,,97,1997/10/31,1998/04/19
2004,,,1,,,98,1999/02/05,1999/05/05
2005,,,1,,,99,1999/11/02,2000/04/19
2006,,,1,,,0,2000/10/31,2001/04/18
2007,,,1,,,1,2001/10/30,2002/04/17
2008,,,1,,,2,2002/10/29,2003/04/16
2009,291027005,300414026,9387022,,,3,2003/10/28,2004/04/14
2010,301026002,310413023,9387022,,,4,2004/11/02,2005/04/20
2011,311225018,320426023,9201006,,"For these, seem to be yymmddggg",5,2005/11/01,2006/04/19
2012,400277722,400278950,1229,,,6,2006/10/31,2007/04/18
2013,400488874,400490103,1230,,,7,2007/10/30,2008/04/16
2014,400578293,400579522,1230,,,8,2008/10/28,2009/04/16
,,,,,,9,2009/10/27,2010/04/14
,,,,,,10,2010/10/26,2011/04/13
,,,,,,11,2011/12/25,2012/04/26
,,,,,,12,2012/10/30,2013/04/17
,,,,,,13,2013/10/29,2014/04/16
,,,,,,14,2014/10/28,2015/04/15
